"Model","Cosine Similarity","Euclidean Distance","Manhattan Distance","Minkowski Distance","Scaled Euclidean Distance","Scaled Manhattan Distance","Scaled Minkowski Distance","Topsis Score","Rank"
"M1","0.6022932529449463","0.8918591141700745","19.253952026367188","0.3504942059516907","0.3445386434204647","0.5201636444134868","0.2268227282857353","0.6273305251475189","3.0"
"M2","0.6256521940231323","0.8652718663215637","18.56007957458496","0.349403828382492","0.2170986093191275","0.4285194979572789","0.2164883254606728","0.6993164961245463","2.0"
"M3","0.6638168096542358","0.8199795484542847","17.598669052124023","0.3265622556209564","0.0","0.3015398974577301","0.0","0.8352393847616368","1.0"
"M4","0.5069057941436768","0.9930703043937684","15.315596580505373","0.4320717453956604","0.8296718774820322","0.0","1.0","0.44562434529838935","4.0"
"M5","0.4709860980510711","1.0286051034927368","22.8869743347168","0.3931468427181244","1.0","1.0","0.6310767613353742","0.19822671350495952","5.0"
